시점,65 - 69세,70 - 74세,75 - 79세,80 - 84세,85 - 89세,90 - 94세,95 - 99세,100+,합
2014,19558,15372,11068,6679,3145,1106,240,127,57295
2015,20789,15475,11377,7206,3369,1194,264,135,59809
2016,21016,15773,12032,7584,3600,1237,288,145,61675
2017,22180,15884,12934,7983,3910,1299,315,150,64655
2018,23119,16776,13079,8548,4215,1438,352,153,67680
2019,25085,17512,13234,9087,4587,1598,373,167,71643
2020,27476,18358,13287,9171,4953,1747,410,179,75581
2021,30199,18539,13467,9561,5186,1874,397,59,79282
2022,32280,19794,13924,10417,5507,2013,400,55,84390
2023,35167,20849,14749,10647,5894,2191,473,56,90026
