,행정구역(동읍면)별,65 - 69세,70 - 74세,75 - 79세,80 - 84세,85 - 89세,90 - 94세,95 - 99세,100+,계
0,안양1동,733,498,319,259,105,36,6,2,1958
1,안양2동,1641,1035,763,553,271,93,25,2,4383
2,안양3동,1378,827,594,400,202,62,12,1,3476
3,안양4동,529,364,312,246,122,61,8,1,1643
4,안양5동,851,557,396,328,173,67,13,2,2387
5,안양6동,1658,946,677,524,265,96,19,1,4186
6,안양7동,769,544,329,237,104,48,15,2,2048
7,안양8동,782,489,298,220,119,26,6,1,1941
8,안양9동,1447,932,698,474,261,78,15,2,3907
9,석수1동,1432,919,673,431,247,108,29,1,3840
10,석수2동,2072,1318,1066,735,425,121,29,8,5774
11,석수3동,964,530,367,274,164,57,12,1,2369
12,박달1동,1171,766,607,451,246,72,14,1,3328
13,박달2동,1331,738,462,281,180,74,8,2,3076
14,비산1동,1780,947,613,402,224,86,25,0,4077
15,비산2동,867,494,346,214,109,47,12,0,2089
16,비산3동,941,543,398,310,159,58,9,2,2420
17,부흥동,1057,638,407,311,168,95,12,2,2690
18,달안동,623,360,259,261,146,70,14,1,1734
19,관양1동,2644,1571,1149,797,454,166,34,6,6821
20,관양2동,1115,695,505,387,211,66,17,2,2998
21,부림동,1207,640,486,420,228,83,14,2,3080
22,평촌동,724,392,269,219,161,42,6,3,1816
23,평안동,927,486,356,296,178,90,19,3,2355
24,귀인동,588,363,265,223,123,52,11,1,1626
25,호계1동,845,467,262,179,88,31,8,0,1880
26,호계2동,1334,718,480,275,164,73,16,1,3061
27,호계3동,1550,829,473,314,202,58,21,3,3450
28,범계동,724,397,333,264,177,76,17,1,1989
29,신촌동,821,426,294,161,94,40,12,2,1850
30,갈산동,662,420,293,201,124,59,15,0,1774
