,행정구역(동읍면)별,0 - 4세,5 - 9세,10 - 14세,15 - 19세,20 - 24세,25 - 29세,30 - 34세,35 - 39세,40 - 44세,45 - 49세,50 - 54세,55 - 59세,60 - 64세,65 - 69세,70 - 74세,75 - 79세,80 - 84세,85 - 89세,90 - 94세,95 - 99세,100+
0,안양1동,-8,-33,-36,-50,-41,-52,22,-17,-55,-70,-39,61,6,30,43,-11,24,17,-5,1,-1
1,안양2동,1,-41,24,-56,-122,-156,-13,26,90,-58,-62,30,7,122,35,37,32,8,4,9,0
2,안양3동,-31,-33,-29,-39,-75,-61,-39,-69,-14,-110,-61,20,-44,86,35,39,5,13,4,7,-1
3,안양4동,2,3,-19,0,3,-45,-1,-12,-4,-31,-36,18,-2,24,8,9,-2,6,11,2,0
4,안양5동,13,-9,-42,-19,-14,-24,7,6,15,-77,-15,-16,-56,60,30,-8,14,12,6,2,-1
5,안양6동,-48,17,-14,-6,-84,-219,2,-20,30,-32,-26,-3,-18,121,40,18,5,7,16,0,0
6,안양7동,-52,-44,-12,-14,-63,-7,45,-62,40,-44,-53,3,-4,2,41,12,39,6,11,0,1
7,안양8동,-29,-10,-10,-20,-51,-62,-43,-48,14,-47,-80,7,-51,35,43,4,-1,19,-8,1,-1
8,안양9동,-38,-45,-13,-57,-49,-51,-59,-28,3,-55,-113,17,-56,87,33,67,12,16,13,-1,1
9,석수1동,-37,-14,-39,-12,-75,-19,-25,-24,10,-112,-12,67,-35,124,60,56,5,12,9,3,0
10,석수2동,-85,-75,-38,-107,-114,-107,51,-105,-2,-178,-96,19,-17,198,20,67,1,60,6,4,2
11,석수3동,-23,-41,-23,-61,-25,-82,57,-20,-41,-52,-52,10,-36,117,32,-20,7,12,15,-3,1
12,박달1동,-35,-41,-42,-21,-77,-95,-25,-27,-29,-91,-68,48,-11,64,17,43,15,41,1,5,-4
13,박달2동,-45,-37,-34,-40,-113,-154,-43,-110,20,-95,-65,-46,-60,56,19,49,-32,8,3,0,2
14,비산1동,50,62,8,-52,-46,34,28,182,229,-102,5,156,40,209,87,63,-3,25,4,6,0
15,비산2동,-41,-26,0,-70,21,-79,-39,-24,78,-76,-13,18,21,65,28,23,21,6,11,-4,0
16,비산3동,-23,-61,-15,-13,-76,-56,9,-49,2,-89,-30,-28,-7,71,16,25,3,8,3,2,1
17,부흥동,-1,-42,-78,28,-70,3,18,-23,-62,-45,-23,40,-54,84,51,-4,21,-5,13,4,1
18,달안동,-31,-15,-32,-40,-11,-38,-4,-33,2,-92,-4,-12,-32,62,19,-3,8,-6,11,3,0
19,관양1동,-95,-98,-93,-110,-220,-128,97,-128,-59,-219,-245,46,14,194,76,75,18,30,4,2,2
20,관양2동,-37,-25,-6,-45,-43,-54,19,8,-57,-70,-30,8,-5,70,4,24,26,7,3,1,-2
21,부림동,-81,-82,-77,-34,-73,35,-138,-34,-53,-151,-4,119,22,132,16,26,17,15,13,3,2
22,평촌동,-21,-33,-33,-24,-91,-43,56,-21,-17,-51,-89,21,31,88,10,21,-18,20,4,2,-1
23,평안동,-51,-37,-69,-35,-38,-16,-31,-50,-20,-97,21,119,-38,70,2,17,13,1,13,1,0
24,귀인동,1,-38,-45,-31,-74,24,-21,-26,30,-127,-20,35,22,34,41,5,5,5,9,2,0
25,호계1동,58,176,268,197,104,100,308,241,398,220,295,256,105,166,80,19,28,10,-1,2,-1
26,호계2동,-57,-21,-10,-50,-123,-30,-64,-58,26,-73,-142,38,-68,154,44,56,-6,-8,7,6,-1
27,호계3동,-75,0,-23,-40,-82,-31,7,-79,59,-54,-144,63,-14,146,77,40,-12,24,-8,7,-1
28,범계동,-9,-40,-39,-3,-46,-17,44,-76,36,-161,29,39,-23,63,26,11,-15,11,5,3,0
29,신촌동,-9,-11,-33,-53,-40,-25,-22,3,6,-85,-52,4,-59,101,18,42,6,-3,6,1,2
30,갈산동,-13,-25,-18,-15,-64,-9,-43,-51,18,-68,-28,25,-26,52,4,23,-6,10,-5,2,0
