,행정구역(동읍면)별,2022,2023,change
0,안양1동,12097,11883,-214
1,안양2동,23066,22983,-83
2,안양3동,16084,15687,-397
3,안양4동,6804,6738,-66
4,안양5동,10128,10012,-116
5,안양6동,26771,26557,-214
6,안양7동,15161,15006,-155
7,안양8동,8677,8339,-338
8,안양9동,16840,16524,-316
9,석수1동,18922,18864,-58
10,석수2동,30593,30097,-496
11,석수3동,12763,12535,-228
12,박달1동,14512,14180,-332
13,박달2동,21976,21259,-717
14,비산1동,27815,28800,985
15,비산2동,14627,14547,-80
16,비산3동,11745,11438,-307
17,부흥동,16661,16517,-144
18,달안동,10200,9952,-248
19,관양1동,34653,33816,-837
20,관양2동,18579,18375,-204
21,부림동,26174,25847,-327
22,평촌동,14236,14047,-189
23,평안동,23170,22945,-225
24,귀인동,16397,16228,-169
25,호계1동,18221,21250,3029
26,호계2동,19227,18847,-380
27,호계3동,23300,23160,-140
28,범계동,15488,15326,-162
29,신촌동,12589,12386,-203
30,갈산동,10752,10515,-237
